open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
0.31650498,0.32139454,0.31481244,0.32139454,0.3366,0.3418,0.3348,0.3418,7.753257e6,7.753257e6,2023-03-05
0.32261693,0.32421544,0.31058109,0.31650498,0.3431,0.3448,0.3303,0.3366,5.64327719e7,5.64327719e7,2023-03-04
0.32957515,0.32995127,0.30202436,0.32261693,0.3505,0.3509,0.3212,0.3431,1.63025922e8,1.63025922e8,2023-03-03
0.33860203,0.33991845,0.32393335,0.32948112,0.3601,0.3615,0.3445,0.3504,8.18545768e7,8.18545768e7,2023-03-02
0.33079754,0.34264532,0.32844679,0.33860203,0.3518,0.3644,0.3493,0.3601,6.76717977e7,6.76717977e7,2023-03-01
0.34292741,0.3460304,0.32769455,0.33070351,0.3647,0.368,0.3485,0.3517,7.67487946e7,7.67487946e7,2023-02-28
0.3469707,0.34809906,0.33625128,0.34292741,0.369,0.3702,0.3576,0.3647,7.13967337e7,7.13967337e7,2023-02-27
0.34048263,0.34828712,0.33634531,0.34706473,0.3621,0.3704,0.3577,0.3691,6.22537294e7,6.22537294e7,2023-02-26
0.34386771,0.34574831,0.33023336,0.3403886,0.3657,0.3677,0.3512,0.362,9.33563898e7,9.33563898e7,2023-02-25
0.35957072,0.36220356,0.3366274,0.34396174,0.3824,0.3852,0.358,0.3658,1.365301407e8,1.365301407e8,2023-02-24
0.36568267,0.37132447,0.35674982,0.35957072,0.3889,0.3949,0.3794,0.3824,8.12289975e7,8.12289975e7,2023-02-23
0.36916178,0.36944387,0.35439907,0.36558864,0.3926,0.3929,0.3769,0.3888,1.23152287e8,1.23152287e8,2023-02-22
0.37959911,0.38166777,0.36248565,0.36906775,0.4037,0.4059,0.3855,0.3925,1.19823429e8,1.19823429e8,2023-02-21
0.37555582,0.38533494,0.36605879,0.37969314,0.3994,0.4098,0.3893,0.4038,1.169063777e8,1.169063777e8,2023-02-20
0.3817618,0.38759166,0.37311104,0.37564985,0.406,0.4122,0.3968,0.3995,9.81812301e7,9.81812301e7,2023-02-19
0.37922299,0.39342152,0.37386328,0.3817618,0.4033,0.4184,0.3976,0.406,8.95902715e7,8.95902715e7,2023-02-18
