open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
21012.479771,21309.163227,20981.299423,21260.925837,22346.57,22662.09,22313.41,22610.79,20557.3188,20557.3188,2023-03-05
21019.785902,21072.123,20834.302324,21012.479771,22354.34,22410.0,22157.08,22346.57,121257.38132,121257.38132,2023-03-04
22064.440396,22075.376085,20659.453539,21019.785902,23465.32,23476.95,21971.13,22354.34,319954.19785,319954.19785,2023-03-03
22219.063328,22376.253279,21811.10477,22064.440396,23629.76,23796.93,23195.9,23465.32,239315.45219,239315.45219,2023-03-02
21760.018271,22567.2,21645.734209,22218.320491,23141.57,24000.0,23020.03,23628.97,315287.41737,315287.41737,2023-03-01
22089.612227,22191.08,21646.618091,21760.018271,23492.09,23600.0,23020.97,23141.57,264140.99894,264140.99894,2023-02-28
22148.625455,22471.279997,21727.295831,22089.612227,23554.85,23897.99,23106.77,23492.09,283706.0859,283706.0859,2023-02-27
21774.592921,22275.697597,21682.546954,22148.625455,23157.07,23689.99,23059.18,23554.85,202323.73623,202323.73623,2023-02-26
21799.952812,21832.947939,21365.4966,21774.592921,23184.04,23219.13,22722.0,23157.07,191311.8101,191311.8101,2023-02-25
22510.97006,22691.648705,21477.570957,21801.128187,23940.2,24132.35,22841.19,23185.29,343582.57453,343582.57453,2023-02-24
22738.532063,23130.994477,22198.6024,22510.97006,24182.21,24599.59,23608.0,23940.2,398400.45437,398400.45437,2023-02-23
22990.965001,23014.829815,22167.281007,22738.532063,24450.67,24476.05,23574.69,24182.21,379425.75365,379425.75365,2023-02-22
23360.709767,23742.575,22706.684102,22992.366048,24843.89,25250.0,24148.34,24452.16,376000.82868,376000.82868,2023-02-21
22823.441153,23621.492569,22417.532449,23359.12066,24272.51,25121.23,23840.83,24842.2,346938.56997,346938.56997,2023-02-20
23161.516615,23688.0376,22748.273571,22822.735928,24632.05,25192.0,24192.57,24271.76,300395.99542,300395.99542,2023-02-19
23101.516072,23391.8431,22971.529,23161.422585,24568.24,24877.0,24430.0,24631.95,216917.25213,216917.25213,2023-02-18
22113.712116,23527.349733,21946.009611,23103.142791,23517.72,25021.11,23339.37,24569.97,496813.21376,496813.21376,2023-02-17
22870.794661,23742.575,22101.986575,22113.712116,24322.87,25250.0,23505.25,23517.72,450080.68366,450080.68366,2023-02-16
20874.509552,22924.514,20731.057384,22871.904215,22199.84,24380.0,22047.28,24324.05,375669.16111,375669.16111,2023-02-15
20474.684589,20986.630924,20247.263631,20874.509552,21774.63,22319.08,21532.77,22199.84,361958.40109,361958.40109,2023-02-14
