open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
4.1538332,4.1630292,4.1437176,4.1556724,4.517,4.527,4.506,4.519,37358.15,37358.15,2023-08-20
4.1483156,4.1869388,4.0958984,4.1538332,4.511,4.553,4.454,4.517,992385.44,992385.44,2023-08-19
4.0729084,4.193376,4.014054,4.147396,4.429,4.56,4.365,4.51,2.97305424e6,2.97305424e6,2023-08-18
4.2963712,4.5814472,3.9653152,4.0729084,4.672,4.982,4.312,4.429,4.83786401e6,4.83786401e6,2023-08-17
4.4297132,4.4527032,4.1667076,4.2963712,4.817,4.842,4.531,4.672,2.43357541e6,2.43357541e6,2023-08-16
4.5878844,4.5961608,4.2503912,4.4306328,4.989,4.998,4.622,4.818,2.15480335e6,2.15480335e6,2023-08-15
4.5860452,4.6513368,4.5529396,4.5878844,4.987,5.058,4.951,4.989,1.47052511e6,1.47052511e6,2023-08-14
4.6338644,4.639382,4.5685728,4.5860452,5.039,5.045,4.968,4.987,1.06388617e6,1.06388617e6,2023-08-13
4.6053568,4.6384624,4.5952412,4.634784,5.008,5.044,4.997,5.04,817443.05,817443.05,2023-08-12
4.602598,4.616392,4.5575376,4.6044372,5.005,5.02,4.956,5.007,1.02233523e6,1.02233523e6,2023-08-11
4.653176,4.6596132,4.5768492,4.6035176,5.06,5.067,4.977,5.006,1.15536393e6,1.15536393e6,2023-08-10
4.653176,4.6954776,4.5952412,4.6522564,5.06,5.106,4.997,5.059,1.39313031e6,1.39313031e6,2023-08-09
4.5713316,4.6881208,4.5363868,4.6522564,4.971,5.098,4.933,5.059,1.38861145e6,1.38861145e6,2023-08-08
4.6035176,4.6430604,4.446266,4.5713316,5.006,5.049,4.835,4.971,1.66426582e6,1.66426582e6,2023-08-07
4.57501,4.6403016,4.5602964,4.602598,4.975,5.046,4.959,5.005,1.12471673e6,1.12471673e6,2023-08-06
4.5915628,4.5943216,4.5327084,4.5740904,4.993,4.996,4.929,4.974,694952.49,694952.49,2023-08-05
4.5777688,4.6403016,4.5419044,4.5915628,4.978,5.046,4.939,4.993,1.32151255e6,1.32151255e6,2023-08-04
4.653176,4.66697,4.5327084,4.5786884,5.06,5.075,4.929,4.979,1.57870336e6,1.57870336e6,2023-08-03
4.7883572,4.800312,4.6090352,4.6540956,5.207,5.22,5.012,5.061,1.87508824e6,1.87508824e6,2023-08-02
4.6982364,4.7901964,4.55202,4.7892768,5.109,5.209,4.95,5.208,2.58348921e6,2.58348921e6,2023-08-01
4.7662868,4.8380156,4.6403016,4.6982364,5.183,5.261,5.046,5.109,2.16217925e6,2.16217925e6,2023-07-31
4.8260608,4.8518096,4.68996,4.7672064,5.248,5.276,5.1,5.184,1.63074135e6,1.63074135e6,2023-07-30
4.7984728,4.8361764,4.7855984,4.8260608,5.218,5.259,5.204,5.248,840163.33,840163.33,2023-07-29
4.8177844,4.8490508,4.745136,4.7993924,5.239,5.273,5.16,5.219,1.74595505e6,1.74595505e6,2023-07-28
4.814106,4.9069856,4.7653672,4.8177844,5.235,5.336,5.182,5.239,1.62400067e6,1.62400067e6,2023-07-27
4.7598496,4.869282,4.7055932,4.814106,5.176,5.295,5.117,5.235,1.71635924e6,1.71635924e6,2023-07-26
4.791116,4.8334176,4.7166284,4.75893,5.21,5.256,5.129,5.175,1.75205261e6,1.75205261e6,2023-07-25
4.9575636,4.9805536,4.68996,4.7901964,5.391,5.416,5.1,5.209,3.3666078e6,3.3666078e6,2023-07-24
4.887674,5.0513628,4.85089,4.9575636,5.315,5.493,5.275,5.391,2.2280627e6,2.2280627e6,2023-07-23
5.0449256,5.0743528,4.8426136,4.8867544,5.486,5.518,5.266,5.314,2.24851821e6,2.24851821e6,2023-07-22
