open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
18.749582,19.238538,18.655552,18.909433,19.94,20.46,19.84,20.11,162680.66,162680.66,2023-03-05
19.144508,19.219732,18.288835,18.758985,20.36,20.44,19.45,19.95,465415.25,465415.25,2023-03-04
19.849733,19.859136,17.8657,19.144508,21.11,21.12,19.0,20.36,1.10816073e6,1.10816073e6,2023-03-03
20.009584,20.103614,19.313762,19.84033,21.28,21.38,20.54,21.1,418171.96,418171.96,2023-03-02
19.520628,20.178838,19.417195,20.018987,20.76,21.46,20.65,21.29,443423.11,443423.11,2023-03-01
20.02839,20.197644,19.332568,19.520628,21.3,21.48,20.56,20.76,420915.73,420915.73,2023-02-28
20.131823,20.319883,19.577046,20.037793,21.41,21.61,20.82,21.31,533129.71,533129.71,2023-02-27
19.727494,20.263465,19.586449,20.131823,20.98,21.55,20.83,21.41,427312.17,427312.17,2023-02-26
19.859136,19.981375,19.08809,19.727494,21.12,21.25,20.3,20.98,665874.33,665874.33,2023-02-25
20.799436,20.940481,19.46421,19.849733,22.12,22.27,20.7,21.11,895989.16,895989.16,2023-02-24
21.128541,21.363616,20.526749,20.799436,22.47,22.72,21.83,22.12,807536.43,807536.43,2023-02-23
21.485855,21.561079,20.395107,21.137944,22.85,22.93,21.69,22.48,1.17480905e6,1.17480905e6,2023-02-22
21.796154,22.802275,21.06272,21.485855,23.18,24.25,22.4,22.85,2.59835203e6,2.59835203e6,2023-02-21
21.15675,22.303916,20.451525,21.796154,22.5,23.72,21.75,23.18,1.53770484e6,1.53770484e6,2023-02-20
21.269586,21.937199,20.884063,21.15675,22.62,23.33,22.21,22.5,1.44278721e6,1.44278721e6,2023-02-19
21.072123,21.805557,20.790033,21.269586,22.41,23.19,22.11,22.62,1.06014781e6,1.06014781e6,2023-02-18
20.084808,21.260183,19.953166,21.081526,21.36,22.61,21.22,22.42,1.09641459e6,1.09641459e6,2023-02-17
21.128541,21.485855,20.018987,20.075405,22.47,22.85,21.29,21.35,1.3050278e6,1.3050278e6,2023-02-16
19.962569,21.137944,19.642867,21.128541,21.23,22.48,20.89,22.47,1.11328513e6,1.11328513e6,2023-02-15
19.407792,19.990778,19.003463,19.962569,20.64,21.26,20.21,21.23,834517.73,834517.73,2023-02-14
19.793315,19.924957,18.806,19.407792,21.05,21.19,20.0,20.64,1.04393024e6,1.04393024e6,2023-02-13
20.21645,20.348092,19.483016,19.802718,21.5,21.64,20.72,21.06,626877.22,626877.22,2023-02-12
19.718091,20.225853,19.689882,20.207047,20.97,21.51,20.94,21.49,693178.98,693178.98,2023-02-11
19.65227,20.12242,19.483016,19.718091,20.9,21.4,20.72,20.97,990768.29,990768.29,2023-02-10
21.288392,21.542273,19.125702,19.65227,22.64,22.91,20.34,20.9,1.6002305e6,1.6002305e6,2023-02-09
21.81496,21.984214,20.78063,21.288392,23.2,23.38,22.1,22.64,981193.41,981193.41,2023-02-08
20.799436,21.90899,20.6866,21.81496,22.12,23.3,22.0,23.2,1.00001544e6,1.00001544e6,2023-02-07
21.485855,21.692721,20.583167,20.808839,22.85,23.07,21.89,22.13,977981.87,977981.87,2023-02-06
22.388543,22.642424,21.06272,21.485855,23.81,24.08,22.4,22.85,1.72609835e6,1.72609835e6,2023-02-05
21.786751,23.460485,21.673915,22.388543,23.17,24.95,23.05,23.81,2.41290215e6,2.41290215e6,2023-02-04
21.090929,22.454364,20.940481,21.786751,22.43,23.88,22.27,23.17,2.26211086e6,2.26211086e6,2023-02-03
21.025108,22.727051,20.583167,21.081526,22.36,24.17,21.89,22.42,2.25104792e6,2.25104792e6,2023-02-02
20.385704,21.166153,19.727494,21.015705,21.68,22.51,20.98,22.35,943426.95,943426.95,2023-02-01
20.066002,20.658391,19.943763,20.395107,21.34,21.97,21.21,21.69,685184.93,685184.93,2023-01-31
21.391825,22.153468,19.55824,20.075405,22.75,23.56,20.8,21.35,1.86436616e6,1.86436616e6,2023-01-30
20.413913,21.485855,20.272868,21.391825,21.71,22.85,21.56,22.75,1.04529899e6,1.04529899e6,2023-01-29
20.705406,20.902869,20.197644,20.423316,22.02,22.23,21.48,21.72,602522.24,602522.24,2023-01-28
20.677197,20.931078,19.943763,20.705406,21.99,22.26,21.21,22.02,559836.47,559836.47,2023-01-27
20.545555,21.043914,20.188241,20.667794,21.85,22.38,21.47,21.98,977046.11,977046.11,2023-01-26
