open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
1383.025428,1383.93684,1371.816,1375.311312,1471.93,1472.9,1460.0,1463.72,61940.3695,61940.3695,2023-03-12
1340.273628,1388.794572,1323.33264,1383.063012,1426.43,1478.07,1408.4,1471.97,1.3748596201e6,1.3748596201e6,2023-03-11
1350.505872,1352.488428,1285.739244,1340.283024,1437.32,1439.43,1368.39,1426.44,960262.4509,960262.4509,2023-03-10
1439.824248,1453.04442,1322.9568,1350.505872,1532.38,1546.45,1408.0,1437.32,718485.1364,718485.1364,2023-03-09
1467.60822,1476.008244,1431.583956,1439.824248,1561.95,1570.89,1523.61,1532.38,460101.7658,460101.7658,2023-03-08
1471.263264,1488.786804,1443.357144,1467.617616,1565.84,1584.49,1536.14,1561.96,437947.9032,437947.9032,2023-03-07
1470.069972,1487.847204,1460.551824,1471.263264,1564.57,1583.49,1554.44,1565.84,307709.3011,307709.3011,2023-03-06
1472.108904,1492.808292,1459.24578,1470.079368,1566.74,1588.77,1553.05,1564.58,299240.7415,299240.7415,2023-03-05
1474.65522,1482.247188,1455.553152,1472.099508,1569.45,1577.53,1549.12,1566.73,237640.2606,237640.2606,2023-03-04
1548.329256,1549.6353,1451.108844,1474.65522,1647.86,1649.25,1544.39,1569.45,742816.5976,742816.5976,2023-03-03
1564.650108,1576.517256,1521.381528,1548.329256,1665.23,1677.86,1619.18,1647.86,423023.8082,423023.8082,2023-03-02
1508.283504,1568.868912,1498.662,1564.640712,1605.24,1669.72,1595.0,1665.22,474456.8235,474456.8235,2023-03-01
1534.78962,1548.009792,1500.221736,1508.274108,1633.45,1647.52,1596.66,1605.23,393523.1647,393523.1647,2023-02-28
1542.231252,1564.640712,1510.8768,1534.78962,1641.37,1665.22,1608.0,1633.45,431861.4129,431861.4129,2023-02-27
1498.267368,1551.523896,1491.859296,1542.221856,1594.58,1651.26,1587.76,1641.36,308607.9941,308607.9941,2023-02-26
1510.68888,1511.797608,1463.267268,1498.267368,1607.8,1608.98,1557.33,1594.58,290188.0391,290188.0391,2023-02-25
1550.828592,1564.114536,1480.471344,1510.68888,1650.52,1664.66,1575.64,1607.8,512515.4982,512515.4982,2023-02-24
1543.90374,1577.5884,1530.3735,1550.837988,1643.15,1679.0,1628.75,1650.53,501305.9717,501305.9717,2023-02-23
1559.519892,1566.26622,1498.727772,1543.894344,1659.77,1666.95,1595.07,1643.14,528875.4809,528875.4809,2023-02-22
1600.392492,1612.973736,1537.46748,1559.510496,1703.27,1716.66,1636.3,1659.76,520354.4688,520354.4688,2023-02-21
1578.283704,1616.008644,1550.866176,1600.392492,1679.74,1719.89,1650.56,1703.27,451314.8335,451314.8335,2023-02-20
1589.446152,1622.303964,1565.505144,1578.2931,1691.62,1726.59,1666.14,1679.75,401023.0477,401023.0477,2023-02-19
1591.503876,1609.656948,1578.311892,1589.446152,1693.81,1713.13,1679.77,1691.62,267305.7813,267305.7813,2023-02-18
1538.905068,1617.9912,1532.027196,1591.560252,1637.83,1722.0,1630.51,1693.87,579934.663,579934.663,2023-02-17
1573.754832,1637.694612,1535.043312,1538.914464,1674.92,1742.97,1633.72,1637.84,832723.6731,832723.6731,2023-02-16
1461.73572,1578.528,1449.37998,1573.754832,1555.7,1680.0,1542.55,1674.92,581207.8586,581207.8586,2023-02-15
1414.3329,1474.2324,1393.107336,1461.745116,1505.25,1569.0,1482.66,1555.71,668964.3768,668964.3768,2023-02-14
1423.324872,1433.92356,1373.629428,1414.323504,1514.82,1526.1,1461.93,1505.24,643152.3904,643152.3904,2023-02-13
1445.5746,1454.519592,1402.897968,1423.334268,1538.5,1548.02,1493.08,1514.83,286758.374,286758.374,2023-02-12
1421.66178,1449.8028,1414.098,1445.583996,1513.05,1543.0,1505.0,1538.51,289691.5708,289691.5708,2023-02-11
1452.01086,1461.087396,1400.004,1421.671176,1545.35,1555.01,1490.0,1513.06,484654.2199,484654.2199,2023-02-10
1550.734632,1556.137332,1432.32624,1452.01086,1650.42,1656.17,1524.4,1545.35,658011.6964,658011.6964,2023-02-09
1570.099788,1595.356236,1531.989612,1550.744028,1671.03,1697.91,1630.47,1650.43,417966.2539,417966.2539,2023-02-08
1516.777488,1576.996452,1515.706344,1570.099788,1614.28,1678.37,1613.14,1671.03,451922.4,451922.4,2023-02-07
1530.617796,1558.382976,1508.067396,1516.786884,1629.01,1658.56,1605.01,1614.29,384119.4197,384119.4197,2023-02-06
