open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
0.5048604,0.50578,0.5002624,0.5021016,0.549,0.55,0.544,0.546,311930.0,311930.0,2023-08-20
0.4975036,0.5112976,0.4901468,0.5039408,0.541,0.556,0.533,0.548,2.3392795e6,2.3392795e6,2023-08-19
0.4901468,0.5002624,0.4800312,0.496584,0.533,0.544,0.522,0.54,6.5481823e6,6.5481823e6,2023-08-18
0.5637148,0.5775088,0.4395688,0.4901468,0.613,0.628,0.478,0.533,9.4263281e6,9.4263281e6,2023-08-17
0.5857852,0.6290064,0.5462424,0.5637148,0.637,0.684,0.594,0.613,1.23291812e7,1.23291812e7,2023-08-16
0.62073,0.6418808,0.57475,0.5857852,0.675,0.698,0.625,0.637,4.6344697e6,4.6344697e6,2023-08-15
0.6326848,0.657514,0.616132,0.62073,0.688,0.715,0.67,0.675,4.1269176e6,4.1269176e6,2023-08-14
0.611534,0.652916,0.611534,0.6326848,0.665,0.71,0.665,0.688,1.07102584e7,1.07102584e7,2023-08-13
0.5968204,0.6152124,0.5940616,0.6124536,0.649,0.669,0.646,0.666,2.0129488e6,2.0129488e6,2023-08-12
0.588544,0.59774,0.5857852,0.5968204,0.64,0.65,0.637,0.649,1.1399309e6,1.1399309e6,2023-08-11
0.5949812,0.6004988,0.5830264,0.5876244,0.647,0.653,0.634,0.639,1.1860115e6,1.1860115e6,2023-08-10
0.5959008,0.6004988,0.5867048,0.5940616,0.648,0.653,0.638,0.646,1.2956583e6,1.2956583e6,2023-08-09
0.6050968,0.6060164,0.5821068,0.5968204,0.658,0.659,0.633,0.649,2.5148988e6,2.5148988e6,2023-08-08
0.6280868,0.6363632,0.5821068,0.6050968,0.683,0.692,0.633,0.658,5.1247193e6,5.1247193e6,2023-08-07
0.6262476,0.6336044,0.611534,0.6271672,0.681,0.689,0.665,0.682,3.7050093e6,3.7050093e6,2023-08-06
