open (EUR),high (EUR),low (EUR),close (EUR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD),Date
5.7894917,5.807346,5.741567,5.7753962,6.161,6.18,6.11,6.146,550971.53,550971.53,2023-03-12
5.8392958,6.0065624,5.563024,5.7904314,6.214,6.392,5.92,6.162,5.65819238e6,5.65819238e6,2023-03-11
5.7894917,5.8862808,5.534833,5.8402355,6.161,6.264,5.89,6.215,6.62203772e6,6.62203772e6,2023-03-10
6.1813466,6.286593,5.6447779,5.788552,6.578,6.69,6.007,6.16,5.98880954e6,5.98880954e6,2023-03-09
6.4688948,6.5290356,6.1024118,6.1804069,6.884,6.948,6.494,6.577,4.09881539e6,4.09881539e6,2023-03-08
6.4435229,6.5534678,6.2649799,6.4660757,6.857,6.974,6.667,6.881,3.01578765e6,3.01578765e6,2023-03-07
6.5271562,6.5600457,6.4078143,6.4407038,6.946,6.981,6.819,6.854,2.60848081e6,2.60848081e6,2023-03-06
6.4435229,6.5938749,6.3965379,6.5262165,6.857,7.017,6.807,6.945,1.96849416e6,1.96849416e6,2023-03-05
6.5384326,6.5882367,6.3035076,6.4435229,6.958,7.011,6.708,6.857,2.73846451e6,2.73846451e6,2023-03-04
6.8363175,6.8372572,6.2537035,6.5384326,7.275,7.276,6.655,6.958,5.30953451e6,5.30953451e6,2023-03-03
7.0815792,7.1276245,6.7310711,6.8363175,7.536,7.585,7.163,7.275,2.87068688e6,2.87068688e6,2023-03-02
6.7620812,7.0919159,6.7150962,7.0815792,7.196,7.547,7.146,7.536,3.75077774e6,3.75077774e6,2023-03-01
6.8353778,6.9744534,6.6681112,6.7611415,7.274,7.422,7.096,7.195,4.03440579e6,4.03440579e6,2023-02-28
7.0421118,7.0552676,6.6916037,6.8353778,7.494,7.508,7.121,7.274,4.00458573e6,4.00458573e6,2023-02-27
6.9265287,7.0928556,6.8532321,7.0449309,7.371,7.548,7.293,7.497,2.54196905e6,2.54196905e6,2023-02-26
7.0158002,7.0392927,6.7357696,6.9284081,7.466,7.491,7.168,7.373,4.27789398e6,4.27789398e6,2023-02-25
7.4583989,7.6576153,6.784634,7.0158002,7.937,8.149,7.22,7.466,9.71301908e6,9.71301908e6,2023-02-24
7.2516649,7.714937,7.207499,7.4565195,7.717,8.21,7.67,7.935,1.015010682e7,1.015010682e7,2023-02-23
7.1802477,7.2845544,6.8541718,7.2516649,7.641,7.752,7.294,7.717,6.49694259e6,6.49694259e6,2023-02-22
7.5354543,7.5899569,7.0524485,7.179308,8.019,8.077,7.505,7.64,5.89397486e6,5.89397486e6,2023-02-21
7.526997,7.89348,7.2554237,7.5335749,8.01,8.4,7.721,8.017,8.06537747e6,8.06537747e6,2023-02-20
7.5044442,7.7891733,7.348454,7.5307558,7.986,8.289,7.82,8.014,9.41602658e6,9.41602658e6,2023-02-19
7.1877653,7.7581632,7.0430515,7.5072633,7.649,8.256,7.495,7.989,1.138904679e7,1.138904679e7,2023-02-18
6.5882367,7.2460267,6.5515884,7.188705,7.011,7.711,6.972,7.65,8.09796831e6,8.09796831e6,2023-02-17
6.841016,7.0430515,6.5750809,6.5882367,7.28,7.495,6.997,7.011,8.19908168e6,8.19908168e6,2023-02-16
6.3974776,6.869207,6.3204222,6.8419557,6.808,7.31,6.726,7.281,5.17461429e6,5.17461429e6,2023-02-15
6.2668593,6.4200304,6.1334219,6.3974776,6.669,6.832,6.527,6.808,4.39579903e6,4.39579903e6,2023-02-14
6.399357,6.4341259,6.01408,6.2668593,6.81,6.847,6.4,6.669,5.42484987e6,5.42484987e6,2023-02-13
6.5807191,6.662473,6.2818945,6.3974776,7.003,7.09,6.685,6.808,3.32080933e6,3.32080933e6,2023-02-12
6.4735933,6.6117292,6.4397641,6.5807191,6.889,7.036,6.853,7.003,2.29357429e6,2.29357429e6,2023-02-11
6.5619251,6.690664,6.3683469,6.474533,6.983,7.12,6.777,6.89,6.61905731e6,6.61905731e6,2023-02-10
6.7066389,7.3456349,6.4068746,6.5628648,7.137,7.817,6.818,6.984,1.875195603e7,1.875195603e7,2023-02-09
6.7649003,6.85981,6.5327944,6.7056992,7.199,7.3,6.952,7.136,4.91069489e6,4.91069489e6,2023-02-08
6.4190907,6.7789958,6.4031158,6.7630209,6.831,7.214,6.814,7.197,4.54377159e6,4.54377159e6,2023-02-07
6.5638045,6.6371011,6.3570705,6.4200304,6.985,7.063,6.765,6.832,3.50445435e6,3.50445435e6,2023-02-06
6.803428,6.8147044,6.4472817,6.5638045,7.24,7.252,6.861,6.985,3.41669721e6,3.41669721e6,2023-02-05
6.8532321,6.9199508,6.6963022,6.8006089,7.293,7.364,7.126,7.237,3.21119296e6,3.21119296e6,2023-02-04
6.67187,6.8955186,6.5891764,6.8541718,7.1,7.338,7.012,7.294,4.39509181e6,4.39509181e6,2023-02-03
6.7789958,7.0327148,6.6107895,6.6709303,7.214,7.484,7.035,7.099,5.76798746e6,5.76798746e6,2023-02-02
6.5327944,6.8381969,6.267799,6.7789958,6.952,7.277,6.67,7.214,5.49354816e6,5.49354816e6,2023-02-01
6.4980255,6.6474378,6.4416435,6.5327944,6.915,7.074,6.855,6.952,3.33635654e6,3.33635654e6,2023-01-31
6.9284081,6.9904283,6.3410956,6.4970858,7.373,7.439,6.748,6.914,5.01485405e6,5.01485405e6,2023-01-30
6.775237,7.0646646,6.7132168,6.9274684,7.21,7.518,7.144,7.372,5.028035e6,5.028035e6,2023-01-29
6.9387448,7.0562073,6.690664,6.7761767,7.384,7.509,7.12,7.211,4.02176373e6,4.02176373e6,2023-01-28
6.737649,7.0439912,6.5046034,6.9387448,7.17,7.496,6.922,7.384,6.80366345e6,6.80366345e6,2023-01-27
6.5356135,6.8748452,6.4125128,6.7367093,6.955,7.316,6.824,7.169,7.00800512e6,7.00800512e6,2023-01-26
6.2593417,6.6709303,6.117447,6.5346738,6.661,7.099,6.51,6.954,6.74441844e6,6.74441844e6,2023-01-25
6.5919955,6.76584,6.1315425,6.2593417,7.015,7.2,6.525,6.661,5.39221762e6,5.39221762e6,2023-01-24
6.5619251,6.7977898,6.4350656,6.5919955,6.983,7.234,6.848,7.015,6.47514695e6,6.47514695e6,2023-01-23
6.4397641,6.8325587,6.3683469,6.5628648,6.853,7.271,6.777,6.984,6.81776636e6,6.81776636e6,2023-01-22
6.5233974,6.681267,6.3918394,6.4397641,6.942,7.11,6.802,6.853,6.49754724e6,6.49754724e6,2023-01-21
6.1136882,6.5506487,6.0272358,6.5224577,6.506,6.971,6.414,6.941,4.17898533e6,4.17898533e6,2023-01-20
5.9511201,6.1503365,5.9332658,6.1136882,6.333,6.545,6.314,6.506,3.29024113e6,3.29024113e6,2023-01-19
6.3965379,6.5638045,5.8787632,5.9520598,6.807,6.985,6.256,6.334,8.42521627e6,8.42521627e6,2023-01-18
6.267799,6.5732015,6.1484571,6.3937188,6.67,6.995,6.543,6.804,6.03887949e6,6.03887949e6,2023-01-17
6.2903518,6.5290356,6.0262961,6.2668593,6.694,6.948,6.413,6.669,7.14308832e6,7.14308832e6,2023-01-16
6.4435229,6.5083622,6.20202,6.2903518,6.857,6.926,6.6,6.694,5.65254129e6,5.65254129e6,2023-01-15
6.2057788,6.6784479,6.061065,6.4425832,6.604,7.107,6.45,6.856,1.042533964e7,1.042533964e7,2023-01-14
6.0009242,6.2189346,5.882522,6.2067185,6.386,6.618,6.26,6.605,4.44119922e6,4.44119922e6,2023-01-13
5.9050748,6.0253564,5.685185,6.0018639,6.284,6.412,6.05,6.387,5.86270597e6,5.86270597e6,2023-01-12
5.7951299,5.9248085,5.647597,5.9050748,6.167,6.305,6.01,6.284,3.5995801e6,3.5995801e6,2023-01-11
5.6983408,5.92011,5.6081296,5.7941902,6.064,6.3,5.968,6.166,3.45326489e6,3.45326489e6,2023-01-10
5.6053105,5.8778235,5.5733607,5.6992805,5.965,6.255,5.931,6.065,5.68213067e6,5.68213067e6,2023-01-09
5.4803304,5.6165869,5.4079735,5.6034311,5.832,5.977,5.755,5.963,2.33390416e6,2.33390416e6,2023-01-08
5.3685061,5.4934862,5.3478327,5.478451,5.713,5.846,5.691,5.83,1.99109815e6,1.99109815e6,2023-01-07
5.3196417,5.384481,5.1899631,5.3675664,5.661,5.73,5.523,5.712,2.69754001e6,2.69754001e6,2023-01-06
5.4587173,5.4671746,5.2679582,5.318702,5.809,5.818,5.606,5.66,2.84164564e6,2.84164564e6,2023-01-05
5.2820537,5.5395315,5.271717,5.4587173,5.621,5.895,5.61,5.809,3.83164737e6,3.83164737e6,2023-01-04
5.3478327,5.3788428,5.2313099,5.2820537,5.691,5.724,5.567,5.621,2.14409639e6,2.14409639e6,2023-01-03
5.290511,5.412672,5.2134556,5.3478327,5.63,5.76,5.548,5.691,2.63430076e6,2.63430076e6,2023-01-02
5.2388275,5.299908,5.1730485,5.2886316,5.575,5.64,5.505,5.628,1.46807067e6,1.46807067e6,2023-01-01
5.1448575,5.2876919,5.0621639,5.2388275,5.475,5.627,5.387,5.575,2.31233782e6,2.31233782e6,2022-12-31
5.26232,5.3017874,5.0865961,5.1448575,5.6,5.642,5.413,5.475,3.41684641e6,3.41684641e6,2022-12-30
5.3337372,5.3854207,5.16835,5.2632597,5.676,5.731,5.5,5.601,3.56875037e6,3.56875037e6,2022-12-29
5.5489285,5.5564461,5.2858125,5.3327975,5.905,5.913,5.625,5.675,3.31301841e6,3.31301841e6,2022-12-28
5.6833056,5.7020996,5.4934862,5.5470491,6.048,6.068,5.846,5.903,2.4836172e6,2.4836172e6,2022-12-27
5.6278633,5.6833056,5.581818,5.6833056,5.989,6.048,5.94,6.048,1.77902919e6,1.77902919e6,2022-12-26
5.5583255,5.6344412,5.5320139,5.628803,5.915,5.996,5.887,5.99,1.72809048e6,1.72809048e6,2022-12-25
5.581818,5.6024914,5.525436,5.5592652,5.94,5.962,5.88,5.916,1.05113366e6,1.05113366e6,2022-12-24
5.6428985,5.6880041,5.5667828,5.5827577,6.005,6.053,5.924,5.941,2.22720491e6,2.22720491e6,2022-12-23
5.6269236,5.675788,5.5028832,5.6428985,5.988,6.04,5.856,6.005,2.92190273e6,2.92190273e6,2022-12-22
5.6513558,5.6795468,5.5301345,5.6278633,6.014,6.044,5.885,5.989,2.10132078e6,2.10132078e6,2022-12-21
5.4399233,5.750964,5.4051544,5.6504161,5.789,6.12,5.752,6.013,3.55049769e6,3.55049769e6,2022-12-20
5.591215,5.7002202,5.3290387,5.440863,5.95,6.066,5.671,5.79,4.02280384e6,4.02280384e6,2022-12-19
5.666391,5.6983408,5.5573858,5.5902753,6.03,6.064,5.914,5.949,2.20606225e6,2.20606225e6,2022-12-18
5.5367124,5.7011599,5.4399233,5.666391,5.892,6.067,5.789,6.03,4.12525126e6,4.12525126e6,2022-12-17
6.0667032,6.1484571,5.4295866,5.5376521,6.456,6.543,5.778,5.893,6.98561e6,6.98561e6,2022-12-16
6.3138443,6.3260604,6.0009242,6.0667032,6.719,6.732,6.386,6.456,4.03574038e6,4.03574038e6,2022-12-15
6.5083622,6.5450105,6.2837739,6.3129046,6.926,6.965,6.687,6.718,3.46980601e6,3.46980601e6,2022-12-14
6.2978694,6.6728097,6.0761002,6.5083622,6.702,7.101,6.466,6.926,6.91294543e6,6.91294543e6,2022-12-13
6.2941106,6.3223016,6.0676429,6.2969297,6.698,6.728,6.457,6.701,3.91623764e6,3.91623764e6,2022-12-12
6.4435229,6.540312,6.2452462,6.29599,6.857,6.96,6.646,6.7,2.01472827e6,2.01472827e6,2022-12-11
6.4491611,6.5036637,6.2903518,6.4444626,6.863,6.921,6.694,6.858,2.43027144e6,2.43027144e6,2022-12-10
6.5788397,6.6286438,6.3862012,6.4491611,7.001,7.054,6.796,6.863,3.05348823e6,3.05348823e6,2022-12-09
6.4660757,6.6427393,6.3664675,6.5779,6.881,7.069,6.775,7.0,3.73748532e6,3.73748532e6,2022-12-08
6.7019404,6.7263726,6.361769,6.4660757,7.132,7.158,6.77,6.881,4.58681078e6,4.58681078e6,2022-12-07
6.8363175,6.8936392,6.5374929,6.7019404,7.275,7.336,6.957,7.132,5.41701969e6,5.41701969e6,2022-12-06
6.9932474,7.1360818,6.728252,6.8363175,7.442,7.594,7.16,7.275,5.61054945e6,5.61054945e6,2022-12-05
6.8015486,7.019559,6.7517445,6.9951268,7.238,7.47,7.185,7.444,3.40115178e6,3.40115178e6,2022-12-04
7.1520567,7.1727301,6.7724179,6.7987295,7.611,7.633,7.207,7.235,3.7087344e6,3.7087344e6,2022-12-03
7.2178357,7.2601222,7.0280163,7.151117,7.681,7.726,7.479,7.61,5.06243556e6,5.06243556e6,2022-12-02
7.2103181,7.3409364,6.9923077,7.2178357,7.673,7.812,7.441,7.681,7.6174423e6,7.6174423e6,2022-12-01
6.8757849,7.282675,6.8334984,7.2093784,7.317,7.75,7.272,7.672,8.33228104e6,8.33228104e6,2022-11-30
6.7602018,7.0599661,6.6934831,6.8767246,7.194,7.513,7.123,7.318,9.04332382e6,9.04332382e6,2022-11-29
6.4876888,6.9039759,6.136241,6.7602018,6.904,7.347,6.53,7.194,1.359223054e7,1.359223054e7,2022-11-28
6.7254329,6.8391366,6.4444626,6.4858094,7.157,7.278,6.858,6.902,4.98655069e6,4.98655069e6,2022-11-27
6.4350656,6.8588703,6.4125128,6.7244932,6.848,7.299,6.824,7.156,8.06734514e6,8.06734514e6,2022-11-26
6.418151,6.5713221,6.2593417,6.4350656,6.83,6.993,6.661,6.848,5.76102233e6,5.76102233e6,2022-11-25
6.3035076,6.5572266,6.1888642,6.4190907,6.708,6.978,6.586,6.831,6.71310424e6,6.71310424e6,2022-11-24
6.0356931,6.3984173,5.9605171,6.3025679,6.423,6.809,6.343,6.707,9.87740325e6,9.87740325e6,2022-11-23
5.5197978,6.0939545,5.4850289,6.0347534,5.874,6.485,5.837,6.422,1.189178733e7,1.189178733e7,2022-11-22
5.4192499,5.5404712,5.1946616,5.5216772,5.767,5.896,5.528,5.876,7.85809701e6,7.85809701e6,2022-11-21
5.7753962,5.8750044,5.3647473,5.4201896,6.146,6.252,5.709,5.768,4.9527416e6,4.9527416e6,2022-11-20
5.8111048,5.844934,5.628803,5.7753962,6.184,6.22,5.99,6.146,2.91360205e6,2.91360205e6,2022-11-19
5.8486928,6.051668,5.7030393,5.8101651,6.224,6.44,6.069,6.183,5.21659613e6,5.21659613e6,2022-11-18
5.807346,5.9595774,5.6654513,5.8496325,6.18,6.342,6.029,6.225,4.88841225e6,4.88841225e6,2022-11-17
6.0338137,6.1681908,5.7105569,5.8064063,6.421,6.564,6.077,6.179,6.29197707e6,6.29197707e6,2022-11-16
5.9116527,6.2696784,5.8327179,6.0338137,6.291,6.672,6.207,6.421,9.02848934e6,9.02848934e6,2022-11-15
5.7105569,6.0497886,5.346893,5.9116527,6.077,6.438,5.69,6.291,1.221403016e7,1.221403016e7,2022-11-14
5.901316,6.1503365,5.581818,5.7114966,6.28,6.545,5.94,6.078,7.28802803e6,7.28802803e6,2022-11-13
6.6201865,6.6474378,5.7866726,5.9022557,7.045,7.074,6.158,6.281,1.518155303e7,1.518155303e7,2022-11-12
6.7742973,6.8964583,6.1202661,6.6192468,7.209,7.339,6.513,7.044,1.121025417e7,1.121025417e7,2022-11-11
5.8562104,7.057147,5.7199539,6.775237,6.232,7.51,6.087,7.21,1.863225798e7,1.863225798e7,2022-11-10
7.2432076,7.42363,5.4267675,5.8552707,7.708,7.9,5.775,6.231,2.364747931e7,2.364747931e7,2022-11-09
8.4159532,8.898959,6.1813466,7.2432076,8.956,9.47,6.578,7.708,3.611511339e7,3.611511339e7,2022-11-08
7.6125097,8.7025617,7.4189315,8.4159532,8.101,9.261,7.895,8.956,1.137607689e7,1.137607689e7,2022-11-07
8.1415608,8.2430484,7.6059318,7.6125097,8.664,8.772,8.094,8.101,5.40210702e6,5.40210702e6,2022-11-06
8.1894855,8.4648176,8.0457114,8.1406211,8.715,9.008,8.562,8.663,6.3751667e6,6.3751667e6,2022-11-05
7.254484,8.3614506,7.198102,8.1894855,7.72,8.898,7.66,8.715,1.188650372e7,1.188650372e7,2022-11-04
6.9876092,7.536394,6.9425036,7.254484,7.436,8.02,7.388,7.72,8.01438331e6,8.01438331e6,2022-11-03
7.2197151,7.5176,6.8955186,6.9885489,7.683,8.0,7.338,7.437,8.33767408e6,8.33767408e6,2022-11-02
7.3804038,7.4452431,7.169911,7.2206548,7.854,7.923,7.63,7.684,3.79046973e6,3.79046973e6,2022-11-01
7.3136851,7.8305201,7.2018608,7.3832229,7.783,8.333,7.664,7.857,8.47658897e6,8.47658897e6,2022-10-31
7.1764889,7.4537004,7.028956,7.3127454,7.637,7.932,7.48,7.782,6.27738329e6,6.27738329e6,2022-10-30
6.6793876,7.1990417,6.6493172,7.1755492,7.108,7.661,7.076,7.636,5.92288558e6,5.92288558e6,2022-10-29
6.4773521,6.76584,6.418151,6.6803273,6.893,7.2,6.83,7.109,3.19584802e6,3.19584802e6,2022-10-28
6.7263726,6.9208905,6.4444626,6.4764124,7.158,7.365,6.858,6.892,4.31889549e6,4.31889549e6,2022-10-27
6.6371011,6.850413,6.6032719,6.7254329,7.063,7.29,7.027,7.157,4.19550695e6,4.19550695e6,2022-10-26
6.4914476,6.841016,6.4031158,6.6371011,6.908,7.28,6.814,7.063,5.40813451e6,5.40813451e6,2022-10-25
6.6408599,6.6587142,6.3815027,6.4895682,7.067,7.086,6.791,6.906,3.51755087e6,3.51755087e6,2022-10-24
6.455739,6.6643524,6.3890203,6.6399202,6.87,7.092,6.799,7.066,2.60339753e6,2.60339753e6,2022-10-23
6.399357,6.5130607,6.3194825,6.4538596,6.81,6.931,6.725,6.868,1.24250108e6,1.24250108e6,2022-10-22
6.2565226,6.4341259,6.0554268,6.3984173,6.658,6.847,6.444,6.809,3.88435673e6,3.88435673e6,2022-10-21
6.3645881,6.4952064,6.2029597,6.2555829,6.773,6.912,6.601,6.657,3.0537382e6,3.0537382e6,2022-10-20
6.6963022,6.7047595,6.2941106,6.3636484,7.126,7.135,6.698,6.772,2.89881158e6,2.89881158e6,2022-10-19
6.888001,6.9274684,6.5431311,6.6972419,7.33,7.372,6.963,7.127,3.81217236e6,3.81217236e6,2022-10-18
6.7348299,6.9293478,6.6408599,6.8861216,7.167,7.374,7.067,7.328,3.22322495e6,3.22322495e6,2022-10-17
6.4707742,6.8006089,6.4613772,6.7404681,6.886,7.237,6.876,7.173,2.25123469e6,2.25123469e6,2022-10-16
6.4707742,6.5694427,6.4068746,6.4707742,6.886,6.991,6.818,6.886,1.9978154e6,1.9978154e6,2022-10-15
6.6023322,6.812825,6.3862012,6.4717139,7.026,7.25,6.796,6.887,4.41798763e6,4.41798763e6,2022-10-14
6.7141565,6.7254329,5.9257482,6.6032719,7.145,7.157,6.306,7.027,7.4034565e6,7.4034565e6,2022-10-13
6.7047595,6.8391366,6.6596539,6.7141565,7.135,7.278,7.087,7.145,2.20504513e6,2.20504513e6,2022-10-12
6.8917598,6.9387448,6.6417996,6.7047595,7.334,7.384,7.068,7.135,4.13206746e6,4.13206746e6,2022-10-11
7.1680316,7.2667001,6.8795437,6.8926995,7.628,7.733,7.321,7.335,3.59248793e6,3.59248793e6,2022-10-10
7.0054635,7.1952829,6.9697549,7.169911,7.455,7.657,7.417,7.63,1.64910798e6,1.64910798e6,2022-10-09
7.1473582,7.1943432,6.8964583,7.0054635,7.606,7.656,7.339,7.455,2.06012082e6,2.06012082e6,2022-10-08
7.169911,7.3315394,7.0223781,7.1473582,7.63,7.802,7.473,7.606,4.08783773e6,4.08783773e6,2022-10-07
7.4010772,7.4602783,7.1370215,7.1717904,7.876,7.939,7.595,7.632,4.06016694e6,4.06016694e6,2022-10-06
7.2582428,7.4640371,7.1276245,7.4001375,7.724,7.943,7.585,7.875,6.15156603e6,6.15156603e6,2022-10-05
6.8861216,7.357851,6.8814231,7.2573031,7.328,7.83,7.323,7.723,6.31986805e6,6.31986805e6,2022-10-04
6.6822067,6.9105538,6.587297,6.888001,7.111,7.354,7.01,7.33,5.13585674e6,5.13585674e6,2022-10-03
6.9472021,7.0900365,6.662473,6.681267,7.393,7.545,7.09,7.11,4.10428581e6,4.10428581e6,2022-10-02
7.1266848,7.1849462,6.8720261,6.9481418,7.584,7.646,7.313,7.394,3.43248055e6,3.43248055e6,2022-10-01
7.4273888,7.4414843,7.0524485,7.1276245,7.904,7.919,7.505,7.585,5.5890811e6,5.5890811e6,2022-09-30
7.3249615,7.4696753,7.113529,7.4226903,7.795,7.949,7.57,7.899,7.68685242e6,7.68685242e6,2022-09-29
7.5702232,8.025038,7.2563634,7.3249615,8.056,8.54,7.722,7.795,1.601694782e7,1.601694782e7,2022-09-28
7.4630974,7.8925403,7.1896447,7.5702232,7.942,8.399,7.651,8.056,1.191876606e7,1.191876606e7,2022-09-27
7.3916802,7.4771929,7.0148605,7.4659165,7.866,7.957,7.465,7.945,6.53994509e6,6.53994509e6,2022-09-26
7.1689713,7.5908966,7.1069511,7.3907405,7.629,8.078,7.563,7.865,8.54594927e6,8.54594927e6,2022-09-25
7.000765,7.3991978,6.9265287,7.1689713,7.45,7.874,7.371,7.629,6.93558881e6,6.93558881e6,2022-09-24
6.6934831,7.0402324,6.5431311,6.9998253,7.123,7.492,6.963,7.449,7.63631805e6,7.63631805e6,2022-09-23
6.2762563,6.7432872,6.2377286,6.6934831,6.679,7.176,6.638,7.123,4.57010139e6,4.57010139e6,2022-09-22
6.4688948,6.8767246,6.1259043,6.277196,6.884,7.318,6.519,6.68,8.28444077e6,8.28444077e6,2022-09-21
6.85981,6.8945789,6.399357,6.4679551,7.3,7.337,6.81,6.883,5.30902306e6,5.30902306e6,2022-09-20
7.0703028,7.2140769,6.5825985,6.8607497,7.524,7.677,7.005,7.301,7.81612317e6,7.81612317e6,2022-09-19
7.6040524,7.649158,6.9556594,7.0693631,8.092,8.14,7.402,7.523,5.46634265e6,5.46634265e6,2022-09-18
7.1952829,7.6519771,7.1802477,7.6040524,7.657,8.143,7.641,8.092,5.06242399e6,5.06242399e6,2022-09-17
7.1116496,7.3324791,6.9716343,7.1943432,7.568,7.803,7.419,7.656,6.6264718e6,6.6264718e6,2022-09-16
7.0045238,7.1464185,6.5882367,7.1097702,7.454,7.605,7.011,7.566,7.09254947e6,7.09254947e6,2022-09-15
6.6004528,7.085338,6.5609854,7.0064032,7.024,7.54,6.982,7.456,5.91359999e6,5.91359999e6,2022-09-14
7.2911323,7.4828311,6.596694,6.6013925,7.759,7.963,7.02,7.025,7.20848539e6,7.20848539e6,2022-09-13
7.5448513,7.79951,7.1501773,7.2939514,8.029,8.3,7.609,7.762,6.49182037e6,6.49182037e6,2022-09-12
7.4292682,7.6801681,7.2657604,7.5439116,7.906,8.173,7.732,8.028,5.04684702e6,5.04684702e6,2022-09-11
7.2789162,7.5495498,7.1567552,7.4273888,7.746,8.034,7.616,7.904,6.04183788e6,6.04183788e6,2022-09-10
6.9594182,7.6106303,6.9462624,7.2751574,7.406,8.099,7.392,7.742,7.48095281e6,7.48095281e6,2022-09-09
