Name,ID
Binance,binance
OKX,okex
Bybit,bybit_spot
Coinbase Exchange,gdax
Gate.io,gate
Kraken,kraken
KuCoin,kucoin
Crypto.com Exchange,crypto_com
Bitstamp,bitstamp
Binance US,binance_us
HTX,huobi
MEXC,mxc
Bitrue,bitrue
Bitget,bitget
Biconomy,biconomy
Bitfinex,bitfinex
Gemini,gemini
Dex-Trade,dextrade
WOO X,wootrade
NiceHash,nice_hash
WhiteBIT,whitebit
DigiFinex,digifinex
Upbit,upbit
LBank,lbank
BingX,bingx
Deepcoin,deepcoin
BitMart,bitmart
LATOKEN,latoken
CoinW,coinw
BTSE,btse
CITEX,citex
BitMake,bitmake
BigONE,bigone
AscendEX (BitMax),bitmax
QMall,qmall
Coinstore,coinstore
Phemex,phemex
PointPay,pointpay
Bitbank,bitbank
bitcastle,bitcastle
EXMO,exmo
Bitso,bitso
Max Maicoin,max_maicoin
VALR,valr
Indodax,indodax
XeggeX,xeggex
Coins.ph,coinspro
Emirex,emirex
BitMEX,bitmex_spot
Blockchain.com,blockchain_com
Okcoin,okcoin
P2B,p2pb2b
Toobit,toobit
Pionex,pionex
XT.COM,xt
Tapbit,tapbit
CoinTR Pro,cointr
Fastex,fastex
BYDFi,bydfi
BitVenus,bitvenus_spot
bitFlyer,bitflyer
BtcTurk | Kripto,btcturk
C-Patex,c_patex
Paribu,paribu
ProBit Global,probit
Bitkub,bitkub
CoinEx,coinex
Bullish,bullish_com
Luno,luno
Independent Reserve,independent_reserve
Bitexen,bitexen
CEX.IO,cex
BitStorage,bitstorage
Koinbx,koinbazar
Stormgain,stormgain
Bitcointry Exchange,bitcointry_exchange
WazirX,wazirx
Nominex,nominex
Bitlo,bitlo
CoinDCX,coindcx
Coinmetro,coin_metro
Kuna Exchange,kuna
Delta Exchange,delta_spot
Bitcoin.me,klever_exchange
Hotcoin Global,hotcoin_global
Uniswap V3 (Ethereum),uniswap_v3
Coinsbit,coinsbit
Bithumb,bithumb
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Bitvavo,bitvavo
BitDelta,bitdelta
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
Coincheck,coincheck
Uniswap V2 (Ethereum),uniswap_v2
FMCPAY,fmcpay
Icrypex,icrypex
Uniswap V3 (Optimism),uniswap_v3_optimism
Camelot V3,camelot-v3
Trubit,trubit
